Date,Title,Description
2022-01-02T11:50:00Z,3 Cathie Wood Loser Stocks That Could Be 2022 Winners,"It's been a tough year for Cathie Wood, but 2022 could be shaping up for a rebound."
2022-01-02T13:00:00Z,Sentiment Speaks: 2022 Can Be Your Best Year Ever,"With the stock market likely going to provide us another buying opportunity in early 2022, you may want to set yourself up before we begin the next major rally."
2022-01-02T16:03:00Z,"These are the best ETFs and themes to buy in 2022, and its all about yields","Every week we highlight the most timely exchange-traded fund news, from new launches to inflows and performance."
2022-01-03T21:04:28Z,Here's How Tesla Short Seller Stanphyl Capital's Fund Performed In 2021 As EV Maker's Stock Soared,"After another brutal year in 2021, Tesla Inc (NASDAQ: TSLA) short sellers kicked off 2022 deep in the red on Monday after the stock jumped 11.5% on the strength of better-than-expected fourth-quarter delivery numbers.
Spiegel’s Bearish Take: One of Tesla’s most vocal short sellers has been Stanphyl Capital Partners Managing Member & Portfolio Manager Mark Spiegel. In Stanphyl’s December letter to investors, Spiegel discussed his bearish take on Tesla and revealed just how much his Tesla short position impacted Stanphyl’s full-year returns in 2021.
Related Link: Bad Omen For Tesla? Here's What Happened To Amazon Stock After Jeff Bezos Was Time's 'Person Of The Year' 
In the letter, Spiegel said he still considers Tesla grossly overvalued and is ..."
2022-01-04T08:23:06Z,Article 100: Some 2022 Tech Ideas,"To celebrate our 100th article on Seeking Alpha, we are formally unveiling some of our top ideas in the tech sector and in the market more broadly for 2022."
2022-01-04T13:00:00Z,Sentiment Speaks: Let Me Tell You The Secret To Being Perfect In The Stock Market,"There is no such thing as perfection in the market. An investor/trader must approach the market from a perspective of probabilities. As long as support holds, we are next targeting 4860SPX."
2022-01-05T18:50:00Z,Should You Bet on Cathie Wood in 2022?,Two of ARK Invest's most popular ETFs were down double digits in 2021. Is it time to buy?
2022-01-06T10:19:01Z,Cathie Wood Sells Another $21M In Tesla On Wednesday — Here's What She Bought Instead,"Cathie Wood’s Ark Investment Management on Wednesday booked more profit in Tesla Inc (NASDAQ: TSLA), selling 19,212 shares — estimated to be worth $20.9 million based on the latest closing price — in the electric vehicle maker.
The Elon Musk-led company’s stock, which had risen about 50% in 2021, closed 5.3% lower at $1,088.1 a share on Wednesday. 
Tesla stock has erased all the gains it accumulated on Monday after it reported fourth-quarter delivery volumes that far surpassed expectations.
Ark Invest owns shares in Tesla via three of ..."
2022-01-06T11:45:00Z,Is Cathie Wood Wrong About Spotify?,"The audio streaming company is an ARK Innovation ETF favorite, but has it earned its spot?"
2022-01-06T13:25:09Z,My Tech Portfolio Has Collapsed - Part 2,My tech-growth portfolio was created two years ago and became a 3-bagger in 2020. Click here to read the additions and sales for 2021 and my positions for 2022.
2022-01-06T13:32:00Z,Here's one take on how to catch a falling knife after the growth stock crash,The tech sector is bleeding. When can you buy it again?
2022-01-06T14:05:00Z,"Zacks Market Edge Highlights: ARKK, ARKG, CTRU, QQQM, and XBI","Zacks Market Edge Highlights: ARKK, ARKG, CTRU, QQQM, and XBI"
2022-01-06T17:26:00Z,Unprofitable tech trades are off to an ugly 2022. Here are the ETFs to consider as Cathie Wood's Ark sinks.,"Every week we highlight the most timely exchange-traded fund news, from new launches to inflows and performance."
2022-01-06T21:25:07Z,"Why Shares of ARK Innovation ETF, Affirm, Upstart, and SoFi Struggled This Week",Fintech and tech stocks slid on revelations from the Federal Reserve's December minutes released this week.
