Date,Title,Description
2022-01-02T07:29:07Z,My Dividend Growth Portfolio - Q4 2021 Summary,"I will share my portfolio, changes in the past 3 months and stocks that are currently on my wish list. Click here to know them."
2022-01-02T10:55:00Z,22 Top Dividend Stocks to Buy and Hold in 2022,Some offer strong growth prospects. Others are bargains. But they all should provide reliable dividends in the new year and beyond.
2022-01-02T11:07:00Z,"Where to Invest $100,000 in 2022",The goal: a portfolio that should pay off well into the future.
2022-01-02T15:37:00Z,"Dr. Fauci and World Health Organization say omicron appears to be milder, but warn it's still early days",Public-health officials warn that the effects of the highly contagious omicron variant still needs to be seen in the elderly and vulnerable.
2022-01-03T07:09:30Z,Updating 2021 Calls While Suggesting Strategic Positioning For 2022,"My four major calls in 2021 were Dump China, Buy Japan, Buy I Bonds, Buy Berkshire Hathaway; they remain in force for 2022 - avoid Cathie Wood's stocks."
2022-01-03T11:20:09Z,Should WisdomTree U.S. LargeCap Dividend ETF (DLN) Be on Your Investing Radar?,Style Box ETF report for DLN
2022-01-03T11:20:13Z,Should Vanguard Russell 1000 Value ETF (VONV) Be on Your Investing Radar?,Style Box ETF report for VONV
2022-01-03T11:55:00Z,What Does This Regulatory News Mean for Bristol Myers Squibb's Shareholders?,The U.S. Food and Drug Administration recently acknowledged Bristol Myers Squibb's application for deucravacitinib to treat moderate-to-severe psoriasis.
2022-01-03T14:45:00Z,Should You Consider a Stock's Short Interest When Investing?,It can be a symbol of the market at any given time.
2022-01-03T15:24:00Z,Novavax (NVAX) Further Delays FDA Filing for COVID-19 Vaccine,"Novavax's (NVAX) filing with the FDA seeking approval for emergency use authorization of its COVID-19 vaccine, NVX-CoV2373, gets further postponed to January 2022."
2022-01-04T11:15:00Z,This Big Pharma Stock Is Enriching Shareholders With Its Dividend. But Is It a Buy?,Bristol Myers Squibb is rewarding its shareholders with a huge dividend hike and a massive share-buyback program.
2022-01-04T13:10:00Z,5 Top Dividend Kings to Buy in 2022 and Hold Forever,"Sturdy businesses and reliable dividend growth? Yes, please."
2022-01-04T15:50:00Z,"Pfizer, BioNTech Booster Gets FDA Nod for 12 to 15-Year Olds",FDA authorizes the booster shot of Pfizer (PFE) and BioNTech's (BNTX) COVID-19 vaccine for adolescents 12 through 15 years of age.
2022-01-04T22:45:21Z,Johnson & Johnson (JNJ) Dips More Than Broader Markets: What You Should Know,"Johnson & Johnson (JNJ) closed the most recent trading day at $171.08, moving -0.27% from the previous trading session."
2022-01-04T23:27:36Z,"9 Of The Largest M&A Deals From 2021: WarnerMedia+Discovery, Kansas City Southern+Canadian National And More","Last year will go down with many records set in the investment world. A record number of companies went public via IPO, a record number of public listings happened in 2021, the SPDR S&P 500 ETF Trust (NYSE: SPY) hit record highs while the S&P 500 notched 70 record closings during the year.
Meanwhile, Bitcoin (CRYPTO: BTC) hit an all-time high of more than $69,000 and a market capitalization of over $1 trillion.
Another record set in 2021 was the amount of money from announced mergers and acquisitions. M&A volume hit $5.5 trillion, up 63% year-over-year. In Europe, mergers and acquisitions reached a volume of $1.3 trillion, up 41% year-over-year. Activity in the U.S. alone hit $2.4 trillion, up 87% year-over-year.
Here are the largest mergers and acquisitions announced in 2021.
AT&T/Discovery: A merger between AT&T Inc (NYSE: T) and Discovery Communications (NASDAQ: DISCA) to combine media assets values the new company at over $40 billion and makes it the largest M&A deal of 2021. The deal will combine entertainment, sports and news assets from WarnerMedia, an AT&T unit, with Discovery Communications. AT&T shareholders are expected to own 71% of the new company, while Discovery shareholders own 29% of the combined company.
The new company will have over 100 brands and over 200,000 hours of programming content. Brands include Warner Bros, Discovery, DC ..."
2022-01-04T23:30:35Z,Why BioNTech Stock Tumbled on Tuesday,The current investor trend isn't the biotech stock's friend.
2022-01-05T11:20:09Z,Is Vanguard High Dividend Yield ETF (VYM) a Strong ETF Right Now?,Smart Beta ETF report for VYM
2022-01-05T11:20:10Z,Is WisdomTree U.S. Quality Dividend Growth ETF (DGRW) a Strong ETF Right Now?,Smart Beta ETF report for DGRW
2022-01-05T11:55:00Z,Is Now a Good Time to Buy Moderna Stock?,"After dropping from record highs in August 2021, now may be a good time to assess Moderna's long-term value."
2022-01-05T14:29:00Z,AbbVie (ABBV) Gets FDA Breakthrough Tag for Lung Cancer Drug,AbbVie's (ABBV) Breakthrough Therapy Designation for Teliso-V is based on data from the phase II LUMINOSITY study.
2022-01-05T16:15:00Z,Buying These 3 Robinhood Stocks Could Be the Smartest Investing Move You Ever Make,Each of these three stocks should continue to do well over the long haul.
2022-01-05T16:30:00Z,1 Simple Strategy to Beat Inflation in 2022,This battle-tested method to beat both the market and inflation will never go out of style.
2022-01-06T11:20:05Z,Should You Invest in the iShares U.S. Pharmaceuticals ETF (IHE)?,Sector ETF report for IHE
2022-01-06T11:20:07Z,Is WisdomTree U.S. Total Dividend ETF (DTD) a Strong ETF Right Now?,Smart Beta ETF report for DTD
2022-01-06T15:07:00Z,Pfizer and BioNTech to Make mRNA-Based Shingles Vaccine,Pfizer (PFE) and BioNTech (BNTX) plan to develop an mRNA-based vaccine for shingles after witnessing success with their COVID-19 vaccine.
2022-01-06T15:58:00Z,4 Reasons Why You Should Add AbbVie (ABBV) to Your Portfolio,AbbVie (ABBV) has several new drugs with the potential to drive revenues once Humira loses U.S. exclusivity in 2023. Its early and mid-stage pipeline has several candidates with blockbuster potential.
2022-01-06T16:52:00Z,Moderna (MRNA) Begins Dosing in Study on Vaccine Against EBV,"Moderna (MRNA) doses the first participant in a phase I study evaluating its Epstein-Barr virus vaccine candidate, mRNA-1189."
2022-01-07T10:55:00Z,3 Reasons To Invest in Blue-Chip Stocks in 2022,Quality stocks may provide the shelter your portfolio needs.
2022-01-07T16:17:00Z,"Pharma Stock Roundup: FDA Nod to PFE Booster for Age 12-15, Breakthrough Tag to ABBV Drug",FDA authorizes Pfizer's (PFE) booster shot for adolescents 12 -15 years of age and grants Breakthrough Therapy tag to AbbVie's (ABBV) lung cancer candidate.
2022-01-08T14:31:00Z,5 Safe And Cheap Dividend Stocks To Invest In (January 2022),"This article is part of our series where we highlight five companies that are large cap, relatively safe, dividend paying, and are offering large discounts to their historical norms."
2022-01-09T11:04:00Z,My 3 Highest-Conviction Stocks for 2022,This Fool like these stocks because he loves their underlying businesses.
2022-01-10T08:36:00Z,Sector Themes In Play In The Markets For 2022,Dips will continue to be bought unless something significant changes. Click here for more...
2022-01-10T11:20:11Z,Should iShares Russell 1000 Value ETF (IWD) Be on Your Investing Radar?,Style Box ETF report for IWD
2022-01-10T15:21:00Z,"The Zacks Analyst Blog Highlights: Pfizer, AbbVie, Eli Lilly and J&J","Pfizer, AbbVie, Eli Lilly and J&J are included in this analyst blog."
2022-01-11T15:10:00Z,Dow ETF in Focus Going Into Q4 Earnings Announcements,"The optimism over the earnings season, which will kick start this week, will rekindle investors' confidence in the Dow Jones stocks and ETFs."
2022-01-11T15:30:00Z,5 Best Stocks to Buy in January and Hold Forever,These stocks are stalwarts you can hold with confidence in a multi-trillion-dollar industry.
2022-01-11T22:45:20Z,Johnson & Johnson (JNJ) Stock Sinks As Market Gains: What You Should Know,"In the latest trading session, Johnson & Johnson (JNJ) closed at $171.25, marking a -1.06% move from the previous day."
2022-01-12T21:04:00Z,Does Johnson & Johnson's Split Make Sense?,Here's the lowdown for investors.
2022-01-13T11:20:06Z,Should Schwab U.S. LargeCap Value ETF (SCHV) Be on Your Investing Radar?,Style Box ETF report for SCHV
2022-01-13T11:20:13Z,Should You Invest in the Fidelity MSCI Health Care Index ETF (FHLC)?,Sector ETF report for FHLC
