Date, AMZN ,ARKK,JNJ,NVDA,TSLA,XOM
1/3/2022," 3,408.09 ",96.989998,171.539993,301.209991,1199.780029,63.540001
1/4/2022," 3,350.44 ",92.690002,171.080002,292.899994,1149.589966,65.93
1/5/2022," 3,287.14 ",86.120003,172.220001,276.040009,1088.119995,66.75
1/6/2022," 3,265.08 ",85.580002,171.630005,281.779999,1064.699951,68.32
1/7/2022," 3,251.08 ",84.419998,173.949997,272.470001,1026.959961,68.879997
1/10/2022," 3,229.72 ",84.639999,173.089996,274,1058.119995,68.470001
1/11/2022," 3,307.24 ",86.980003,171.25,278.170013,1064.400024,71.349998
1/12/2022," 3,304.14 ",84.559998,169.789993,279.98999,1106.219971,71.139999
1/13/2022," 3,224.28 ",79.980003,168.759995,265.75,1031.560059,70.629997
1/14/2022," 3,242.76 ",80.239998,167.839996,269.420013,1049.609985,71.870003
1/18/2022," 3,178.35 ",76.910004,167.100006,259.029999,1030.51001,73.080002
1/19/2022," 3,125.98 ",75.75,166.580002,250.669998,995.650024,73.110001
1/20/2022," 3,033.35 ",75.870003,165.25,241.5,996.27002,73.269997
1/21/2022," 2,852.86 ",71.519997,164.869995,233.740005,943.900024,72.169998
1/24/2022," 2,890.88 ",73.540001,162.970001,233.720001,930,72.790001
1/25/2022," 2,799.72 ",70.800003,167.630005,223.240005,918.400024,74.93
1/26/2022," 2,777.45 ",69.029999,168.380005,227.720001,937.409973,74.169998
1/27/2022," 2,792.75 ",66.330002,170.589996,219.440002,829.099976,75.120003
1/28/2022," 2,879.56 ",68.910004,171.789993,228.399994,846.349976,75.279999
1/31/2022," 2,991.47 ",75.43,172.289993,244.860001,936.719971,75.959999
2/1/2022," 3,023.87 ",77.080002,170.880005,246.380005,931.25,80.830002
2/2/2022," 3,012.25 ",73.139999,172.770004,252.419998,905.659973,80.620003
2/3/2022," 2,776.91 ",69.040001,172.759995,239.479996,891.140015,79.68
2/4/2022," 3,152.79 ",72.75,171.630005,243.190002,923.320007,81.410004
2/7/2022," 3,158.71 ",72.480003,171.059998,247.279999,907.340027,82.389999
2/8/2022," 3,228.27 ",72.389999,171.509995,251.080002,922,80.260002
2/9/2022," 3,223.79 ",76.110001,171.490005,267.049988,932,79
2/10/2022," 3,180.07 ",73.760002,169.419998,258.23999,904.549988,78.239998
2/11/2022," 3,065.87 ",71.900002,167.710007,239.490005,860,80.209999
